intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
8190000,0.008232727857580845,0.08760295218739972,0.08760295218739972,0.009004848764719464,GCA_000382605.1.fna,,f8d0f4c8,93490000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
280000,0.0003065201208565048,0.06588235294117648,0.06588235294117648,0.00030785807742630646,GCA_002928325.1.fna,,a79ac191,4250000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
160000,0.00017495134165810135,0.030828516377649325,0.030828516377649325,0.00017591890138646084,GCA_002928355.1.fna,,faaad7ff,5190000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
160000,0.0001749035297718602,0.029411764705882353,0.029411764705882353,0.00017591890138646084,GCA_002928365.1.fna,,491c7c35,5440000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
210000,0.00022957092101667123,0.03853211009174312,0.03853211009174312,0.00023089355806972986,GCA_011752515.1.fna,,5ff02c7c,5450000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
160000,0.00017495134165810135,0.030828516377649325,0.030828516377649325,0.00017591890138646084,GCA_011752575.1.fna,,faaad7ff,5190000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
10000,1.0929917369824685e-05,0.0018450184501845018,0.0018450184501845018,1.0994931336653802e-05,GCA_011752615.1.fna,,75037606,5420000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
10000,1.092669281788481e-05,0.0017574692442882249,0.0017574692442882249,1.0994931336653802e-05,GCA_011752625.1.fna,,efd871c1,5690000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
170000,0.00018589393110989613,0.03294573643410853,0.03294573643410853,0.00018691383272311464,GCA_011752635.1.fna,,dea459ea,5160000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
250000,0.0002737236267285647,0.06142506142506143,0.06142506142506143,0.00027487328341634505,GCA_011752675.1.fna,,68400367,4070000,11254.5.198435.CGATGT.fastq.gz.abundtrim,,ce1d1b19,909510000
