contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00051	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	132.92050382444594	61.30554163307111	91778	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_oxydans	442	30.61002923760987	5.391769457289651
scaffold00052	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	124.61181885607084	58.48021465032067	91684	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_oxydans	442	29.26835138045985	5.611803724073749
scaffold00065	bin_0002	98.56115107913669	99.27007299270073	6.091943318235474	2.356033616727185	92.4930928085831	56.63896961860013	78107	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_wancherniae	1307955	24.45932551880679	9.116129513711783
scaffold00069	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	128.8001097795261	60.92371629833893	76517	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	unclassified	441	30.390056494181085	5.359705797917901
scaffold00075	bin_0002	98.56115107913669	99.27007299270073	6.091943318235474	2.356033616727185	91.71614035557818	56.23735580594595	74639	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_wancherniae	1307955	24.440922237968863	9.17373375110985
scaffold00111	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	134.69901782347057	59.314280092478725	60987	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	unclassified	441	29.33217281945475	5.725087115361177
scaffold00138	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	133.67699622888998	60.79320835838298	54891	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	unclassified	441	30.224741071193588	5.461302005785895
scaffold00162	bin_0002	98.56115107913669	99.27007299270073	6.091943318235474	2.356033616727185	95.71856074100464	57.69504809405059	50526	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_wancherniae	1307955	25.254012771674105	9.44283240645534
scaffold00167	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	133.17072538860103	60.66759665205261	50180	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	unclassified	441	30.48171013653712	5.375057642615876
scaffold00194	bin_0002	98.56115107913669	99.27007299270073	6.091943318235474	2.356033616727185	90.34005874090154	55.76554718426765	46986	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_wancherniae	1307955	24.010545732122303	9.123565937987584
scaffold00199	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	129.1687438434194	61.30455265750139	46698	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_oxydans	442	30.487079060686124	5.341958456791786
scaffold00201	bin_0002	98.56115107913669	99.27007299270073	6.091943318235474	2.356033616727185	92.718473869553	54.94631321969452	46287	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	gluconobacter_wancherniae	1307955	23.826446676688764	9.23177709435744
scaffold00213	bin_0001	92.08633093525181	98.4375	7.242169905956763	3.119364485246371	124.88660417974708	59.88653690913984	44596	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	gluconobacter	unclassified	441	29.601992875644623	5.221236174395054
