contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00057	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	15.283325232669078	62.70454177242534	55551	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_sp._rit_411	2202160	-11.693101786971145	7.012900863597973
scaffold00095	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	14.452477944086224	66.26550897367257	42959	bacteria	proteobacteria	alphaproteobacteria	sphingomonadales	sphingomonadaceae	sphingomonas	unclassified	13687	-12.60746984332884	5.116918061233771
scaffold00096	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	34.23555310952119	67.14603622789596	41791	bacteria	proteobacteria	alphaproteobacteria	unclassified	unclassified	unclassified	unclassified	28211	-12.688926043857633	5.53511224003492
scaffold00149	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	17.186437579967098	65.9020288795467	32826	bacteria	proteobacteria	alphaproteobacteria	hyphomicrobiales	bradyrhizobiaceae	bradyrhizobium	bradyrhizobium_japonicum	375	-12.674315483023268	5.434611156709956
scaffold00258	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	14.861723939965554	66.2552284097433	24386	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.6725885985456	6.651007349922789
scaffold00289	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	22.87053276340722	58.52465518001146	22693	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-11.166788645829737	6.909147482187828
scaffold00293	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	30.765485157288435	69.55250332299512	22570	bacteria	proteobacteria	alphaproteobacteria	sphingomonadales	sphingomonadaceae	unclassified	unclassified	41297	-12.714975374575069	5.835277101660452
scaffold00468	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	26.177586011127516	68.88270693766323	17614	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.713219887950984	6.630372947077426
scaffold00494	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	24.426890657925544	65.57012409271833	17084	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.667371675929584	6.658767226126801
scaffold00560	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	16.107743059878004	64.32839536910245	16066	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.369110814983005	6.796902006348
scaffold00572	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	25.22179454820797	63.23826350328117	15848	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.579199443277105	6.693225534260541
scaffold00607	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	35.68871519927653	66.73987468509786	15481	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.60535708092164	6.689258202312357
scaffold00613	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	25.606952566601688	68.94087069525666	15390	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.716601381403432	6.626735419525194
scaffold00649	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	14.742429329215067	59.84690794332908	14893	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_oryzihabitans	47885	-10.579875104280603	7.042948613958706
scaffold00662	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	37.97280987252509	61.52698671006238	14748	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.317663744190376	6.811754122605259
scaffold00733	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	33.7519168756718	67.5385166606951	13955	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.702144790344011	6.629145876715196
scaffold00840	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	29.08847246755241	67.94409031564396	13021	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.684895112112663	6.64702163832715
scaffold00858	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	19.93382180996181	60.48795697248421	12829	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_sp._plb05	2899078	-11.160208103671906	6.97503389327628
scaffold00870	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	22.482961222091657	67.61457109283197	12765	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.684741890816277	6.646543880542316
scaffold00876	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	35.007945873652744	63.95248210211628	12711	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.488115084950357	6.739260217943413
scaffold00934	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	22.85470852017937	67.94944965348553	12265	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.686235605669728	6.648675356787229
scaffold00940	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	23.7712343353264	66.97518224260791	12209	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.652628820168896	6.6617546170935045
scaffold00971	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	26.613736400631176	64.130886139025	12041	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.515839171032852	6.719083230265623
scaffold01003	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	17.655824955647546	69.41792683957084	11837	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.72396207394268	6.626190097036822
scaffold01010	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	23.429600135547272	65.37614368010844	11804	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.637714976658351	6.646512121876784
scaffold01021	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	29.798177637741635	66.95903942774419	11743	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.67277173529604	6.650834153664851
scaffold01030	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	17.98605884365378	66.55833048238111	11692	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.658825856363874	6.658025337075357
scaffold01038	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	18.82540638169777	59.03500473036897	11627	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-10.797082623602977	6.87391988113851
scaffold01070	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	24.55819435955645	67.6329346022876	11453	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.65579589881873	6.662423618865978
scaffold01097	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	22.439654412412946	66.23468218284404	11343	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.530740732212408	6.722672840403269
scaffold01136	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	33.455673440028775	66.79554037043697	11122	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.63011440983984	6.671613401525394
scaffold01138	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	32.15765806277543	68.54033636118356	11119	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.660578963459358	6.666492453132084
scaffold01214	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	21.440662202380956	61.34672619047619	10752	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-11.327898169483984	7.020065116009917
scaffold01229	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	35.432356520925005	67.66220391349124	10681	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.625851075113133	6.681408748549709
scaffold01238	bin_0001	67.62589928057554	96.80851063829788	5.409923850037735	2.416847853550816	25.25566738782805	67.75467971028125	10631	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	unclassified	286	-12.668347355730702	6.655706489551117
