contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00002	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	44.53904553857999	53.786824117138856	223393	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.538741267592357	9.940176123897272
scaffold00004	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	42.89497454680904	54.64003393758795	193296	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.32538299087384	10.35342865787264
scaffold00009	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	43.42750269447791	55.62209298974658	173503	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.930187240040425	11.16841822751378
scaffold00013	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	49.19514666271283	52.67172428563192	121401	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.595318385848994	9.04377750059829
scaffold00024	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	44.160322952710494	54.72490337724357	98838	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	unclassified	unclassified	1903409	-22.342042514259585	9.596831859931708
scaffold00030	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	46.10030898128754	50.77129598555773	86413	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.337168385472665	3.8091626132110536
scaffold00035	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	43.21756947426538	55.941353291209126	81505	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.704361720391447	11.38438768520762
scaffold00042	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.49800428220242	56.414051967962784	75662	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.580665212700534	11.541120922906297
scaffold00054	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	43.9007991843222	58.6073500967118	66693	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.43618558412912	15.926802410057768
scaffold00055	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	42.798992035278765	57.13450029248976	66669	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.73024447509329	15.077617654695056
scaffold00058	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	43.1671847855902	57.27347535887355	65622	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.78350138991291	15.183485532942322
scaffold00060	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	55.73743937769099	50.5930182307089	62477	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-21.96157710636215	3.43818856389035
scaffold00062	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	48.22002854805857	54.96944716203429	62351	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.097454108536613	10.61332513218701
scaffold00063	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	45.83800231839258	54.3067362184441	62112	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.42387442717903	9.470396427009092
scaffold00064	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	46.08820776034605	55.73794305636258	61956	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.46397560984672	10.619820907517404
scaffold00066	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	45.966066007247086	55.64913655208435	61266	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-22.88004035296736	11.13267849443912
scaffold00085	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	48.883277302852754	58.07127077129959	52055	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.783532486648483	15.514743232974103
scaffold00086	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.815694312842034	55.838957322143365	51713	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-22.635842216030778	11.30110354464315
scaffold00087	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.753954963651765	56.08266514312733	50759	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.22917330275418	9.850123939903712
scaffold00092	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	45.02171098496166	56.54815257444478	50205	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-22.92302338902393	11.638265404285203
scaffold00095	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	48.829061386459344	52.33033689666343	49392	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.503692971527	8.678244565934728
scaffold00098	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	47.58322856424441	56.28614533568016	47724	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.71385294568636	14.945555541164726
scaffold00110	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.66132075471698	57.31022378236069	45580	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.549087501780875	15.52286466932769
scaffold00111	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	49.023608213462175	56.43131656967168	45535	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-22.012790297110357	11.403521435084595
scaffold00115	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	45.634042933012005	56.33730530637747	44814	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-22.579209369566318	11.64019721929316
scaffold00116	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	47.85315531261901	58.63034566186519	44639	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.457990118256404	15.725236760861138
scaffold00125	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	43.57843842033254	58.21023583702433	43123	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-24.066795135421525	15.435753191099948
scaffold00129	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	51.44722368358124	57.72633794059974	41818	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	-23.86779771552641	15.251126495673391
scaffold00131	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.439980591945655	56.19602134885978	41220	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.269879098061843	11.327574642920718
scaffold00135	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	46.044714640198514	57.62531017369727	40300	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-23.857127553534955	15.059734011051152
scaffold00142	bin_0001	58.27338129496403	96.29629629629629	3.0064965740901513	1.9121882247345805	50.549021153593486	53.577716463014056	38055	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	-22.107487696385917	7.164329877993669
