ant,yeast,source,publication
Atta laevigata,Aureobasidium pullulans,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Aureobasidium pullulans,Fungus Garden,Angelis et al 1983
Atta laevigata,Aureobasidium pullulans,Fungus pellet,Angelis et al 1983
Atta laevigata,Candida javanica (?),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida javanica (?),Fungus Garden,Angelis et al 1983
Atta laevigata,Candida javanica (?),Fungus pellet,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Fungus Garden,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Fungus pellet,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Fungus Garden,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Fungus pellet,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Fungus Garden,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Fungus pellet,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Fungus Garden,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Fungus pellet,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Fungus Garden,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Fungus pellet,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Fungus Garden,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Fungus pellet,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Fungus Garden,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Fungus pellet,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Fungus Garden,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Waste deposit,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Fungus Garden,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Waste deposit,Angelis et al 1983
Atta sexdens,Aureobasidium pullulans,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Aureobasidium pullulans,Fungus Garden,Angelis et al 1983
Atta sexdens,Aureobasidium pullulans,Waste deposit,Angelis et al 1983
Atta sexdens,Candida albicans (Candida stellatoidea),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida albicans (Candida stellatoidea),Fungus Garden,Angelis et al 1983
Atta sexdens,Candida albicans (Candida stellatoidea),Waste deposit,Angelis et al 1983
Atta sexdens,Candida colliculosa,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida colliculosa,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida colliculosa,Waste deposit,Angelis et al 1983
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Fungus Garden,Angelis et al 1983
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Waste deposit,Angelis et al 1983
Atta sexdens,Candida javanica (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida javanica (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Candida javanica (?),Waste deposit,Angelis et al 1983
Atta sexdens,Candida maltosa,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida maltosa,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida maltosa,Waste deposit,Angelis et al 1983
Atta sexdens,Candida materiae,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida materiae,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida materiae,Waste deposit,Angelis et al 1983
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Fungus Garden,Angelis et al 1983
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Waste deposit,Angelis et al 1983
Atta sexdens,Candida parapsilosis,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida parapsilosis,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida parapsilosis,Waste deposit,Angelis et al 1983
Atta sexdens,Candida quercitrusa,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida quercitrusa,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida quercitrusa,Waste deposit,Angelis et al 1983
Atta sexdens,Candida saitoana (Torulopsis candida),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida saitoana (Torulopsis candida),Fungus Garden,Angelis et al 1983
Atta sexdens,Candida saitoana (Torulopsis candida),Waste deposit,Angelis et al 1983
Atta sexdens,Candida sake,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida sake,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida sake,Waste deposit,Angelis et al 1983
Atta sexdens,Candida sp.,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida sp.,Fungus Garden,Angelis et al 1983
Atta sexdens,Candida sp.,Waste deposit,Angelis et al 1983
Atta sexdens,Candida valida-like (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Candida valida-like (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Candida valida-like (?),Waste deposit,Angelis et al 1983
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Fungus Garden,Angelis et al 1983
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Waste deposit,Angelis et al 1983
Atta sexdens,Cryptococcus albidus var. albidus (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Cryptococcus albidus var. albidus (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Cryptococcus albidus var. albidus (?),Waste deposit,Angelis et al 1983
Atta sexdens,Cryptococcus sp.,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Cryptococcus sp.,Fungus Garden,Angelis et al 1983
Atta sexdens,Cryptococcus sp.,Waste deposit,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Fungus Garden,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Waste deposit,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Fungus Garden,Angelis et al 1983
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Waste deposit,Angelis et al 1983
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Fungus Garden,Angelis et al 1983
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Waste deposit,Angelis et al 1983
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Fungus Garden,Angelis et al 1983
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Waste deposit,Angelis et al 1983
Atta sexdens,Debaryomyces hansenii (Candida famata),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Debaryomyces hansenii (Candida famata),Fungus Garden,Angelis et al 1983
Atta sexdens,Debaryomyces hansenii (Candida famata),Waste deposit,Angelis et al 1983
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Fungus Garden,Angelis et al 1983
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella kunmingensis (Nom. inval.),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella kunmingensis (Nom. inval.),Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella kunmingensis (Nom. inval.),Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella luteola,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella luteola,Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella luteola,Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella pagnoccae (Nom. inval.),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella pagnoccae (Nom. inval.),Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella pagnoccae (Nom. inval.),Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella sinensis,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella sinensis,Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella sinensis,Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella sp.,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella sp.,Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella sp.,Waste deposit,Angelis et al 1983
Atta sexdens,Hannaella zeae,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hannaella zeae,Fungus Garden,Angelis et al 1983
Atta sexdens,Hannaella zeae,Waste deposit,Angelis et al 1983
Atta sexdens,Hanseniaspora opuntiae,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hanseniaspora opuntiae,Fungus Garden,Angelis et al 1983
Atta sexdens,Hanseniaspora opuntiae,Waste deposit,Angelis et al 1983
Atta sexdens,"Hanseniaspora uvarum (Kloeckera apiculata)
  Hyphopichia burtonii",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Hanseniaspora uvarum (Kloeckera apiculata)
  Hyphopichia burtonii",Fungus Garden,Angelis et al 1983
Atta sexdens,"Hanseniaspora uvarum (Kloeckera apiculata)
  Hyphopichia burtonii",Waste deposit,Angelis et al 1983
Atta sexdens,Hyphopichia homilentoma (Candida homilentoma),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Hyphopichia homilentoma (Candida homilentoma),Fungus Garden,Angelis et al 1983
Atta sexdens,Hyphopichia homilentoma (Candida homilentoma),Waste deposit,Angelis et al 1983
Atta sexdens,Kazachstania unispora,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Kazachstania unispora,Fungus Garden,Angelis et al 1983
Atta sexdens,Kazachstania unispora,Waste deposit,Angelis et al 1983
Atta sexdens,Kodamaea ohmeri (Pichia ohmeri),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Kodamaea ohmeri (Pichia ohmeri),Fungus Garden,Angelis et al 1983
Atta sexdens,Kodamaea ohmeri (Pichia ohmeri),Waste deposit,Angelis et al 1983
Atta sexdens,Lachancea thermotolerans (Torulopsis dattila),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Lachancea thermotolerans (Torulopsis dattila),Fungus Garden,Angelis et al 1983
Atta sexdens,Lachancea thermotolerans (Torulopsis dattila),Waste deposit,Angelis et al 1983
Atta sexdens,"Langdonia jejuensis (Pseudozyma jejuensis)
  Meira nashicola",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Langdonia jejuensis (Pseudozyma jejuensis)
  Meira nashicola",Fungus Garden,Angelis et al 1983
Atta sexdens,"Langdonia jejuensis (Pseudozyma jejuensis)
  Meira nashicola",Waste deposit,Angelis et al 1983
Atta sexdens,Meyerozyma caribbica (Pichia caribbica),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Meyerozyma caribbica (Pichia caribbica),Fungus Garden,Angelis et al 1983
Atta sexdens,Meyerozyma caribbica (Pichia caribbica),Waste deposit,Angelis et al 1983
Atta sexdens,"Meyerozyma guilliermondii (Candida guilliermondii, Pichia guilliermondii)",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Meyerozyma guilliermondii (Candida guilliermondii, Pichia guilliermondii)",Fungus Garden,Angelis et al 1983
Atta sexdens,"Meyerozyma guilliermondii (Candida guilliermondii, Pichia guilliermondii)",Waste deposit,Angelis et al 1983
Atta sexdens,"Moniliella sp.
  Papiliotrema aff. nemorosa (Cryptococcus aff. nemorosus)",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Moniliella sp.
  Papiliotrema aff. nemorosa (Cryptococcus aff. nemorosus)",Fungus Garden,Angelis et al 1983
Atta sexdens,"Moniliella sp.
  Papiliotrema aff. nemorosa (Cryptococcus aff. nemorosus)",Waste deposit,Angelis et al 1983
Atta sexdens,Papiliotrema flavescens (Cryptococcus flavescens),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Papiliotrema flavescens (Cryptococcus flavescens),Fungus Garden,Angelis et al 1983
Atta sexdens,Papiliotrema flavescens (Cryptococcus flavescens),Waste deposit,Angelis et al 1983
Atta sexdens,Papiliotrema laurentii (Cryptococcus laurentii),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Papiliotrema laurentii (Cryptococcus laurentii),Fungus Garden,Angelis et al 1983
Atta sexdens,Papiliotrema laurentii (Cryptococcus laurentii),Waste deposit,Angelis et al 1983
Atta sexdens,Papiliotrema nemorosa (Cryptococcus nemorosus),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Papiliotrema nemorosa (Cryptococcus nemorosus),Fungus Garden,Angelis et al 1983
Atta sexdens,Papiliotrema nemorosa (Cryptococcus nemorosus),Waste deposit,Angelis et al 1983
Atta sexdens,Papiliotrema rajasthanensis (Cryptococcus rajasthanensis),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Papiliotrema rajasthanensis (Cryptococcus rajasthanensis),Fungus Garden,Angelis et al 1983
Atta sexdens,Papiliotrema rajasthanensis (Cryptococcus rajasthanensis),Waste deposit,Angelis et al 1983
Atta sexdens,Phaeotremella foliacea (Tremella foliacea),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Phaeotremella foliacea (Tremella foliacea),Fungus Garden,Angelis et al 1983
Atta sexdens,Phaeotremella foliacea (Tremella foliacea),Waste deposit,Angelis et al 1983
Atta sexdens,Pichia mexicana-similar (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Pichia mexicana-similar (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Pichia mexicana-similar (?),Waste deposit,Angelis et al 1983
Atta sexdens,Rhodosporidiobolus lusitaniae (Rhodosporidium lusitaniae),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodosporidiobolus lusitaniae (Rhodosporidium lusitaniae),Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodosporidiobolus lusitaniae (Rhodosporidium lusitaniae),Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula babjevae (Rhodosporidium babjevae),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula babjevae (Rhodosporidium babjevae),Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula babjevae (Rhodosporidium babjevae),Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula dairenensis (Nom. inval.),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula dairenensis (Nom. inval.),Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula dairenensis (Nom. inval.),Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula glutinis,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula glutinis,Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula glutinis,Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa,Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa,Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa-like (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa-like (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula mucilaginosa-like (?),Waste deposit,Angelis et al 1983
Atta sexdens,Rhodotorula nothofagi (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Rhodotorula nothofagi (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Rhodotorula nothofagi (?),Waste deposit,Angelis et al 1983
Atta sexdens,Saccharomyces cerevisiae (Candida robusta),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Saccharomyces cerevisiae (Candida robusta),Fungus Garden,Angelis et al 1983
Atta sexdens,Saccharomyces cerevisiae (Candida robusta),Waste deposit,Angelis et al 1983
Atta sexdens,Saitozyma flava (Cryptococcus flavus),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Saitozyma flava (Cryptococcus flavus),Fungus Garden,Angelis et al 1983
Atta sexdens,Saitozyma flava (Cryptococcus flavus),Waste deposit,Angelis et al 1983
Atta sexdens,"Solicoccozyma aeria (Cryptococcus aerius, Cryptococcus albidus var. aerius)",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Solicoccozyma aeria (Cryptococcus aerius, Cryptococcus albidus var. aerius)",Fungus Garden,Angelis et al 1983
Atta sexdens,"Solicoccozyma aeria (Cryptococcus aerius, Cryptococcus albidus var. aerius)",Waste deposit,Angelis et al 1983
Atta sexdens,Sporobolomyces roseus,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Sporobolomyces roseus,Fungus Garden,Angelis et al 1983
Atta sexdens,Sporobolomyces roseus,Waste deposit,Angelis et al 1983
Atta sexdens,Sporobolomyces sp.,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Sporobolomyces sp.,Fungus Garden,Angelis et al 1983
Atta sexdens,Sporobolomyces sp.,Waste deposit,Angelis et al 1983
Atta sexdens,Starmerella etchellsii (Torulopsis etchellsii),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Starmerella etchellsii (Torulopsis etchellsii),Fungus Garden,Angelis et al 1983
Atta sexdens,Starmerella etchellsii (Torulopsis etchellsii),Waste deposit,Angelis et al 1983
Atta sexdens,Symmetrospora marina (Rhodotorula marina),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Symmetrospora marina (Rhodotorula marina),Fungus Garden,Angelis et al 1983
Atta sexdens,Symmetrospora marina (Rhodotorula marina),Waste deposit,Angelis et al 1983
Atta sexdens,Torulaspora delbrueckii-similar (?),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Torulaspora delbrueckii-similar (?),Fungus Garden,Angelis et al 1983
Atta sexdens,Torulaspora delbrueckii-similar (?),Waste deposit,Angelis et al 1983
Atta sexdens,Trichosporon beigelii,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Trichosporon beigelii,Fungus Garden,Angelis et al 1983
Atta sexdens,Trichosporon beigelii,Waste deposit,Angelis et al 1983
Atta sexdens,Trichosporon sp.,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Trichosporon sp.,Fungus Garden,Angelis et al 1983
Atta sexdens,Trichosporon sp.,Waste deposit,Angelis et al 1983
Atta sexdens,Vanrija humicola (Candida humicola),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Vanrija humicola (Candida humicola),Fungus Garden,Angelis et al 1983
Atta sexdens,Vanrija humicola (Candida humicola),Waste deposit,Angelis et al 1983
Atta sexdens,Wickerhamiella azyma (Candida azyma),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Wickerhamiella azyma (Candida azyma),Fungus Garden,Angelis et al 1983
Atta sexdens,Wickerhamiella azyma (Candida azyma),Waste deposit,Angelis et al 1983
Atta sexdens,Wickerhamomyces anomalus (Pichia anomala),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Wickerhamomyces anomalus (Pichia anomala),Fungus Garden,Angelis et al 1983
Atta sexdens,Wickerhamomyces anomalus (Pichia anomala),Waste deposit,Angelis et al 1983
Atta sexdens,Zygoascus hellenicus (Candida hellenica),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Zygoascus hellenicus (Candida hellenica),Fungus Garden,Angelis et al 1983
Atta sexdens,Zygoascus hellenicus (Candida hellenica),Waste deposit,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Fungus Garden,Arcuri (2013)
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Waste deposit,Arcuri (2013)
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Ant exoskeleton,Arcuri (2013)
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Fungus Garden,Arcuri (2013)
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Waste deposit,Arcuri (2013)
Atta sexdens,Aureobasidium pullulans,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Aureobasidium pullulans,Fungus Garden,Arcuri (2013)
Atta sexdens,Aureobasidium pullulans,Waste deposit,Arcuri (2013)
Atta sexdens,Candida albicans (Candida stellatoidea),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida albicans (Candida stellatoidea),Fungus Garden,Arcuri (2013)
Atta sexdens,Candida albicans (Candida stellatoidea),Waste deposit,Arcuri (2013)
Atta sexdens,Candida colliculosa,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida colliculosa,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida colliculosa,Waste deposit,Arcuri (2013)
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Ant exoskeleton,Arcuri (2013)
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Fungus Garden,Arcuri (2013)
Atta sexdens,"Candida colliculosa-like (?)
  Candida glaebosa",Waste deposit,Arcuri (2013)
Atta sexdens,Candida javanica (?),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida javanica (?),Fungus Garden,Arcuri (2013)
Atta sexdens,Candida javanica (?),Waste deposit,Arcuri (2013)
Atta sexdens,Candida maltosa,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida maltosa,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida maltosa,Waste deposit,Arcuri (2013)
Atta sexdens,Candida materiae,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida materiae,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida materiae,Waste deposit,Arcuri (2013)
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Ant exoskeleton,Arcuri (2013)
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Fungus Garden,Arcuri (2013)
Atta sexdens,"Candida membranifaciens
  Candida metapsilosis",Waste deposit,Arcuri (2013)
Atta sexdens,Candida parapsilosis,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida parapsilosis,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida parapsilosis,Waste deposit,Arcuri (2013)
Atta sexdens,Candida quercitrusa,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida quercitrusa,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida quercitrusa,Waste deposit,Arcuri (2013)
Atta sexdens,Candida saitoana (Torulopsis candida),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida saitoana (Torulopsis candida),Fungus Garden,Arcuri (2013)
Atta sexdens,Candida saitoana (Torulopsis candida),Waste deposit,Arcuri (2013)
Atta sexdens,Candida sake,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida sake,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida sake,Waste deposit,Arcuri (2013)
Atta sexdens,Candida sp.,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida sp.,Fungus Garden,Arcuri (2013)
Atta sexdens,Candida sp.,Waste deposit,Arcuri (2013)
Atta sexdens,Candida valida-like (?),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Candida valida-like (?),Fungus Garden,Arcuri (2013)
Atta sexdens,Candida valida-like (?),Waste deposit,Arcuri (2013)
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Ant exoskeleton,Arcuri (2013)
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Fungus Garden,Arcuri (2013)
Atta sexdens,"Candida vartiovaarai (?)
  Candida zeylanoides",Waste deposit,Arcuri (2013)
Atta sexdens,Cryptococcus albidus var. albidus (?),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Cryptococcus albidus var. albidus (?),Fungus Garden,Arcuri (2013)
Atta sexdens,Cryptococcus albidus var. albidus (?),Waste deposit,Arcuri (2013)
Atta sexdens,Cryptococcus sp.,Ant exoskeleton,Arcuri (2013)
Atta sexdens,Cryptococcus sp.,Fungus Garden,Arcuri (2013)
Atta sexdens,Cryptococcus sp.,Waste deposit,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Fungus Garden,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon haglerorum (Cryptococcus haglerorum),Waste deposit,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Fungus Garden,Arcuri (2013)
Atta sexdens,Cutaneotrichosporon jirovecii (Trichosporon jirovecii),Waste deposit,Arcuri (2013)
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Fungus Garden,Arcuri (2013)
Atta sexdens,Cyberlindnera jadinii (Candida utilis),Waste deposit,Arcuri (2013)
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Fungus Garden,Arcuri (2013)
Atta sexdens,Debaryomyces delbrueckii (Torulaspora delbrueckii),Waste deposit,Arcuri (2013)
Atta sexdens,Debaryomyces hansenii (Candida famata),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Debaryomyces hansenii (Candida famata),Fungus Garden,Arcuri (2013)
Atta sexdens,Debaryomyces hansenii (Candida famata),Waste deposit,Arcuri (2013)
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Fungus Garden,Arcuri (2013)
Atta sexdens,Haglerozyma chiarellii (Trichosporon chiarellii),Waste deposit,Arcuri (2013)
Atta sexdens,Hannaella kunmingensis (Nom. inval.),Ant exoskeleton,Arcuri (2013)
Atta sexdens,Hannaella kunmingensis (Nom. inval.),Fungus Garden,Arcuri (2013)
